"X","x","y","df.ahy","df.hy","abun","rel.abun","ahy_wing","sy_wing","asy_wing"
907,-69.8334,45.1,-76.5460017395019,-76.5460017395019,5.21407890319824,0.155971138185545,107.18669128418,106.9375,108.942855834961
908,-69.5001,45.1,-74.493998260498,-74.493998260498,5.39653015136719,0.161428886211343,107.206840515137,106.9375,108.942855834961
909,-69.1668,45.1,-73.6674992752075,-73.6674992752075,4.71209096908569,0.140954942440805,107.226257324219,106.9375,108.942855834961
910,-68.8334,45.1,-72.7555001449585,-72.7555001449585,3.72402000427246,0.111398321635646,107.356422424316,106.9375,107.858642578125
911,-68.5001,45.1,-72.869499130249,-72.869499130249,3.37210988998413,0.10087147267851,107.23942565918,107.041664123535,108.25
912,-68.1668,45.1,-72.841000289917,-72.841000289917,2.59690499305725,0.0776824123774607,107.330841064453,107.041664123535,108.25
913,-67.8334,45.1,-72.166501159668,-72.166501159668,1.52203500270844,0.04552933243589,107.358879089355,107.041664123535,108.25
914,-67.5001,45.1,-71.625001449585,-71.625001449585,0.681577980518341,0.0203883553274278,107.261154174805,105.777778625488,107.481483459473
915,-67.1668,45.1,-71.1214989852905,-71.1214989852905,0.374621003866196,0.0112062102331021,107.279670715332,105.777778625488,107.481483459473
916,-66.8334,45.1,-70.846001739502,-70.846001739502,0.148331999778748,0.00443712327035142,107.239845275879,105.777778625488,107.481483459473
917,-66.5001,45.1,-70.3710017395019,-70.3710017395019,0,0,107.260322570801,105.777778625488,107.481483459473
918,-64.5001,45.1,-68.604001159668,-68.604001159668,0,0,107.498489379883,106.416664123535,109.5
919,-64.1668,45.1,-68.014998550415,-68.014998550415,0.012072999961674,0.000361145195593665,107.502670288086,106.416664123535,109.5
920,-63.8334,45.1,-68.4424992752075,-68.4424992752075,0.016352999955416,0.000489174802136174,107.506614685059,106.416664123535,109.5
921,-63.5001,45.1,-68.1575,-68.1575,0.007652000058442,0.000228897793966828,107.510330200195,106.416664123535,109.5
922,-63.1668,45.1,-68.7560010147095,-68.7560010147095,0.009960999712348,0.000297967961637065,107.513809204102,106.416664123535,109.5
923,-62.8334,45.1,-69.4020013046265,-69.4020013046265,0.005812999792397,0.00017388693395805,NA,NA,NA
924,-62.5001,45.1,-69.1265004348755,-69.1265004348755,0,0,107.520057678223,106.416664123535,109.5
925,-96.1667,44.7666,-77.1350007247925,-77.1350007247925,0,0,NA,NA,NA
926,-95.8334,44.7666,-76.4509995651245,-76.4509995651245,0,0,106.277473449707,104.604164123535,106.381034851074
927,-95.5001,44.7666,-75.9475007247925,-75.9475007247925,0,0,106.323684692383,104.604164123535,106.381034851074
928,-95.1667,44.7666,-75.6435010147095,-75.6435010147095,0.025809999555349,0.000772066376814308,NA,NA,NA
929,-94.8334,44.7666,-75.187501449585,-75.187501449585,0.025113999843597,0.000751246617613468,106.35814666748,104.604164123535,106.381034851074
930,-94.5001,44.7666,-74.6555001449585,-74.6555001449585,0.052508000284433,0.00157069594078955,106.376106262207,104.604164123535,106.381034851074
931,-94.1667,44.7666,-73.9810010147095,-73.9810010147095,0.035261001437902,0.00105477853901641,NA,NA,NA
932,-93.8334,44.7666,-73.2020013046265,-73.2020013046265,0.057868998497725,0.00173106194380975,106.178451538086,104.604164123535,106.381034851074
933,-93.5001,44.7666,-72.6129986953735,-72.6129986953735,0.159822002053261,0.0047808289882321,106.159301757812,104.883331298828,106.104827880859
934,-93.1667,44.7666,-72.0810010147095,-72.0810010147095,0.192368999123573,0.00575442226747158,NA,NA,NA
935,-92.8334,44.7666,-71.691501159668,-71.691501159668,0.605985999107361,0.0181271376517345,106.116722106934,104.828704833984,106.105041503906
936,-92.5001,44.7666,-71.7960017395019,-71.7960017395019,0.880460023880005,0.0263376052800433,106.325874328613,104.828704833984,107.020690917969
937,-92.1667,44.7666,-71.112000579834,-71.112000579834,1.01587295532227,0.0303882745227231,NA,NA,NA
938,-91.8334,44.7666,-70.2855015945435,-70.2855015945435,1.09628701210022,0.0327937371546908,106.159568786621,105.376609802246,106.958190917969
939,-91.5001,44.7666,-69.9435010147095,-69.9435010147095,1.2521950006485,0.0374574844583954,106.283409118652,106.414657592773,107.010650634766
940,-91.1668,44.7666,-69.6964989852905,-69.6964989852905,1.64823198318481,0.0493043207024478,106.195487976074,106.86011505127,107.860649108887
941,-90.8334,44.7666,-69.687000579834,-69.687000579834,1.64190399646759,0.0491150287279625,106.326591491699,106.225196838379,107.860649108887
942,-90.5001,44.7666,-69.82,-69.82,1.54250204563141,0.0461415724957845,106.252716064453,106.225196838379,107.860649108887
943,-90.1668,44.7666,-69.383000869751,-69.383000869751,1.47684001922607,0.0441773941271511,106.180389404297,106.225196838379,107.860649108887
